transformer_id,fault_status
TXR-0001,Fault
TXR-0002,Fault
TXR-0003,Fault
TXR-0004,Normal
TXR-0005,Normal
TXR-0006,Normal
TXR-0007,Normal
TXR-0008,Normal
TXR-0009,Normal
TXR-0010,Normal
TXR-0011,Normal
TXR-0013,Fault
TXR-0014,Normal
TXR-0015,Normal
TXR-0016,Normal
TXR-0017,Normal
TXR-0018,Normal
TXR-0019,Fault
TXR-0020,Normal
TXR-0021,Normal
TXR-0023,Normal
TXR-0024,Normal
TXR-0025,Normal
TXR-0026,Normal
TXR-0027,Fault
TXR-0028,Normal
TXR-0029,Normal
TXR-0030,Fault
TXR-0031,Normal
TXR-0032,Normal
TXR-0033,Normal
TXR-0034,Normal
TXR-0035,Normal
TXR-0036,Normal
TXR-0037,Normal
TXR-0038,Normal
TXR-0039,Normal
TXR-0040,Fault
TXR-0041,Fault
TXR-0042,Normal
TXR-0043,Normal
TXR-0044,Normal
TXR-0045,Normal
TXR-0046,Fault
TXR-0047,Normal
TXR-0048,Normal
TXR-0051,Fault
TXR-0052,Normal
TXR-0053,Fault
TXR-0054,Normal
TXR-0056,Fault
TXR-0057,Fault
TXR-0059,Normal
TXR-0060,Normal
TXR-0061,Normal
TXR-0062,Normal
TXR-0063,Fault
TXR-0064,Fault
TXR-0065,Normal
TXR-0066,Normal
TXR-0067,Normal
TXR-0068,Normal
TXR-0069,Normal
TXR-0070,Fault
TXR-0071,Normal
TXR-0072,Fault
TXR-0073,Normal
TXR-0075,Normal
TXR-0076,Fault
TXR-0078,Fault
TXR-0080,Fault
TXR-0081,Normal
TXR-0082,Fault
TXR-0083,Fault
TXR-0084,Normal
TXR-0085,Normal
TXR-0086,Normal
TXR-0087,Normal
TXR-0090,Normal
TXR-0091,Normal
TXR-0092,Normal
TXR-0093,Normal
TXR-0094,Normal
TXR-0095,Normal
TXR-0096,Normal
TXR-0097,Normal
TXR-0098,Normal
TXR-0099,Normal
TXR-0100,Normal
TXR-0101,Normal
TXR-0102,Normal
TXR-0104,Fault
TXR-0105,Normal
TXR-0106,Fault
TXR-0107,Normal
TXR-0109,Normal
TXR-0110,Fault
TXR-0111,Fault
TXR-0112,Normal
TXR-0114,Normal
TXR-0115,Fault
TXR-0116,Normal
TXR-0117,Normal
TXR-0118,Normal
TXR-0119,Fault
TXR-0120,Normal
TXR-0121,Fault
TXR-0122,Normal
TXR-0123,Normal
TXR-0124,Fault
TXR-0125,Normal
TXR-0127,Normal
TXR-0128,Fault
TXR-0129,Normal
TXR-0130,Normal
TXR-0132,Normal
TXR-0133,Normal
TXR-0134,Normal
TXR-0135,Fault
TXR-0136,Normal
TXR-0138,Normal
TXR-0139,Normal
TXR-0140,Normal
TXR-0142,Normal
TXR-0143,Normal
TXR-0144,Normal
TXR-0145,Normal
TXR-0146,Fault
TXR-0147,Normal
TXR-0148,Normal
TXR-0149,Normal
TXR-0150,Normal
TXR-0151,Normal
TXR-0152,Normal
TXR-0153,Fault
TXR-0154,Fault
TXR-0155,Normal
TXR-0156,Normal
TXR-0157,Normal
TXR-0158,Normal
TXR-0159,Normal
TXR-0160,Normal
TXR-0161,Fault
TXR-0162,Normal
TXR-0163,Normal
TXR-0164,Normal
TXR-0165,Fault
TXR-0168,Normal
TXR-0169,Normal
TXR-0171,Normal
TXR-0173,Normal
TXR-0174,Normal
TXR-0175,Normal
TXR-0176,Normal
TXR-0177,Fault
TXR-0178,Normal
TXR-0179,Normal
TXR-0180,Normal
TXR-0182,Normal
TXR-0183,Fault
TXR-0184,Fault
TXR-0185,Normal
TXR-0186,Normal
TXR-0187,Normal
TXR-0189,Fault
TXR-0190,Normal
TXR-0191,Normal
TXR-0192,Normal
TXR-0193,Normal
TXR-0194,Fault
TXR-0196,Normal
TXR-0200,Normal
TXR-0201,Normal
TXR-0202,Normal
TXR-0204,Fault
TXR-0205,Normal
TXR-0206,Fault
TXR-0208,Normal
TXR-0209,Normal
TXR-0211,Fault
TXR-0212,Normal
TXR-0213,Normal
TXR-0214,Normal
TXR-0215,Normal
TXR-0216,Fault
TXR-0217,Normal
TXR-0218,Normal
TXR-0219,Normal
TXR-0220,Normal
TXR-0221,Normal
TXR-0222,Fault
TXR-0223,Normal
TXR-0225,Normal
TXR-0226,Normal
TXR-0229,Normal
TXR-0230,Fault
TXR-0231,Normal
TXR-0232,Normal
