record_id,transformer_id,log_date,load_pct_of_rated
LOA-001633,TXR-0193,2024-01-27,78.0161183018417
LOA-001418,TXR-0165,2023-02-12,80.28406454453753
LOA-000816,TXR-0096,2023-10-15,73.87034557806793
LOA-000437,TXR-0050,2024-02-14,53.933939268967976
LOA-000537,TXR-0062,2023-04-22,109.10661366480488
LOA-001547,TXR-0181,2023-01-05,62.38400131401661
LOA-000281,TXR-0033,2023-10-07,61.198547625731464
LOA-000009,TXR-0002,2023-07-01,51.63956573340745
LOA-000812,TXR-0095,2023-12-07,44.72754082509021
LOA-000591,TXR-0069,2023-10-15,66.46563684931503
LOA-001332,TXR-0155,2023-06-30,53.98053206892424
LOA-000677,TXR-0078,2023-04-20,44.823294664942814
LOA-001700,TXR-0201,2023-06-02,65.35430321714053
LOA-001482,TXR-0173,2023-12-20,63.268706653257276
LOA-000926,TXR-0108,2023-07-03,63.55567455846208
LOA-000865,TXR-0102,2023-09-10,75.38593713360453
LOA-000294,TXR-0034,2024-02-07,45.85224198400367
LOA-001741,TXR-0205,2023-06-03,43.025781391031295
LOA-000973,TXR-0113,2023-07-29,78.69563280461003
LOA-001467,TXR-0171,2023-10-26,71.76758187333759
LOA-000234,TXR-0027,2024-06-29,66.501506990448
LOA-000043,TXR-0006,2024-04-21,44.900400220277156
LOA-001546,TXR-0181,2024-04-24,48.645561756127506
LOA-001094,TXR-0128,2023-08-26,50.92835315587509
LOA-000302,TXR-0035,2023-02-09,50.79107670496543
LOA-001134,TXR-0132,2023-10-13,98.09407817192773
LOA-001494,TXR-0174,2024-03-12,63.11651685201922
LOA-001490,TXR-0173,2023-03-04,68.5443299052484
LOA-001734,TXR-0205,2024-03-17,35.2695594874274
LOA-001767,TXR-0208,2024-05-04,78.47140276870896
LOA-000748,TXR-0087,2023-02-06,81.5023922755375
LOA-000209,TXR-0025,2023-06-15,61.09940535208234
LOA-000547,TXR-0063,2023-08-06,77.49237250625448
LOA-001253,TXR-0145,2023-09-30,47.48052295643761
LOA-000178,TXR-0022,2023-12-04,59.078812785783434
LOA-000664,TXR-0077,2023-11-13,76.36516839054221
LOA-000706,TXR-0082,2024-03-04,
LOA-001180,TXR-0138,2024-04-19,70.5140867386223
LOA-001645,TXR-0194,2023-05-18,89.04483661427601
LOA-001218,TXR-0142,2023-03-09,62.6891087999473
LOA-001342,TXR-0157,2023-12-07,83.87133361341355
LOA-001185,TXR-0138,2024-01-18,69.48377161064283
LOA-001175,TXR-0137,2023-10-08,
LOA-001051,TXR-0123,2023-07-26,64.94138356249906
LOA-001513,TXR-0177,2023-05-10,71.49722640690356
