transformer_id,install_year,rated_kva,cooling_type,zone,gas_mean,gas_max,gas_std,oil_temp_mean,oil_temp_max,oil_temp_std,load_mean,load_max,load_std,fault_status
TXR-0001,2012,250,ONAF,Zone 3,143.89599437691015,147.81778737157194,3.216603678673671,63.097518401005686,67.06431093762076,4.3601084978744185,94.45084227842169,104.92790813609192,8.91522801223546,Fault
TXR-0002,2019,500,ONAN,Zone 3,100.99199410503768,123.36797828033669,15.073842772536445,52.54420256870581,65.3982550048076,6.346152653408793,65.64214436070463,82.27538272390312,8.850842299260217,Fault
TXR-0003,2009,500,OFAF,Zone 1,103.18307211108329,122.11861570742435,17.40872347810474,57.813396438746686,67.19705938687596,5.172855431795294,71.61979303782103,82.60497850356606,10.674999740328861,Fault
TXR-0004,2008,100,ONAF,Zone 1,125.59539038846385,151.86647008231492,19.03447776934762,42.952912449652196,49.97243626977538,5.4988160658357925,50.071346424587226,70.10729920312858,9.690446363012535,Normal
TXR-0005,2006,250,ONAN,Zone 2,115.32686837134321,202.0662513297669,43.17652745070999,51.196584385503485,53.452317964866445,1.964974572182157,64.04877549826199,73.75407256277119,8.496022987495857,Normal
TXR-0006,2002,250,ONAF,Zone 2,67.47282346079714,89.9907440790049,21.04622315987583,43.04493370042627,52.02311283330578,5.198450573172356,47.76499900772659,64.9204745844157,9.678504028783475,Normal
TXR-0007,2014,500,OFAF,Zone 2,94.37612221931838,100.08806541668018,6.300155086889228,48.22888225706703,53.52159292521591,6.734095623975806,60.20150200331065,75.34995028071364,7.905768724430355,Normal
TXR-0008,2015,250,ONAF,Zone 1,96.35643358720228,101.19027469673264,4.455477771921036,53.22178003479631,62.21437918500444,6.704442202013747,68.33174752396772,88.19799336618223,10.35635583527961,Normal
TXR-0009,2007,250,OFAF,Zone 2,101.2190301382179,114.3469564386766,10.598340441276727,52.43304702712829,62.178092358109005,5.578444855321823,72.6342548685125,82.08524566724219,7.3744115341557634,Normal
TXR-0010,2014,100,Unknown,Zone 3,115.72747838831604,126.20184097664392,9.833272660610405,48.29817752342848,56.44597987912287,7.30046160365276,60.26304158962406,70.93205665099751,8.81905940780899,Normal
TXR-0011,2008,1000,OFAF,Zone 1,91.21963755050065,116.16316546881208,15.93609183349182,47.075127934479056,54.32942023141349,3.3274533340642414,55.19054063037485,58.52640577487944,2.3308411730798713,Normal
TXR-0013,1998,250,ONAN,Zone 2,142.96867114179318,181.868544068898,18.31715683437177,45.66487192281231,54.528024183531,5.97648238180371,55.3460491542296,67.68634300590116,6.270369963545645,Fault
TXR-0014,2003,250,ONAN,Zone 1,59.011520335314145,83.56197234309579,19.134426369104897,54.362168767596394,56.61058025467152,2.5063548328981877,80.81335556926521,84.50465321803789,3.497326758231833,Normal
TXR-0015,2007,500,ONAF,Zone 3,4.7024640167867995,12.98526972496816,5.627195614152993,49.84116112876919,55.76231470289133,5.298895847236627,59.178117159656225,66.00755462491516,5.539843113521904,Normal
TXR-0016,2014,250,ONAF,Zone 3,141.40620790661052,167.08200834079528,20.74133736644028,67.85014108749766,74.21893821521584,4.75716597977741,94.03624375522979,102.89386073308548,8.183911161834825,Normal
TXR-0017,1998,1000,ONAF,Zone 1,44.93016328500639,66.78072483272193,16.576605049611228,56.10263624806686,61.40306885884291,4.676291280844384,77.35884007603374,88.91671477263881,6.609202322018387,Normal
TXR-0018,2008,250,OFAF,Zone 2,62.98931844786387,75.27427916462216,11.251790702150425,60.292017681510316,63.4257210221348,2.874731637467181,79.16803617204836,90.33147692914592,7.237119329818987,Normal
TXR-0019,1999,500,OFAF,Zone 2,167.85592310724059,184.7090347365912,13.242167432945285,59.067587095121795,64.16810879584368,3.21216128758302,65.95900567417692,74.54304995631011,7.357354314943634,Fault
TXR-0020,2009,250,ONAN,Zone 1,91.78636425523759,103.14677707196476,8.213402228068974,45.07272381070852,59.36472214076234,10.31033224883864,42.8063427051082,55.88437333913584,9.42357290472115,Normal
TXR-0021,2015,100,ONAN,Zone 1,95.39211279026095,119.07985409833188,21.284782572498013,57.38406556817624,61.188154017242624,4.106235191338975,75.37442176028678,85.07181414753897,8.435369465508515,Normal
TXR-0023,2014,100,OFAF,Zone 3,73.10806620293687,95.0359756050252,15.546772795436572,56.1200268833995,63.38917525242524,6.444638529170672,69.14367136873115,78.75589161656445,6.295875768423201,Normal
TXR-0024,2011,1000,ONAN,Zone 1,64.72188849504883,78.73752860032448,10.127963947924115,53.356949607619455,57.4788431575003,4.5873592212319885,68.51726856059885,77.49098578913622,6.702346326044048,Normal
TXR-0025,2003,100,ONAN,Zone 1,73.65562295687371,98.97771671886224,14.057936026459167,52.670488934681075,57.24948029545886,2.714143948803334,65.91926587006924,80.8763967976426,7.758265987898407,Normal
TXR-0026,2017,250,OFAF,Zone 1,120.32560294413945,131.1238284670607,10.025198110236502,57.148021627941624,65.1430940935272,4.305687902682586,72.2615701679899,85.00004264591476,6.645695866504687,Normal
TXR-0027,2015,250,OFAF,Zone 1,68.25638097424381,75.89188796094939,6.52028341024675,56.99632167668809,60.80737419882765,3.5341621690854406,69.54618101444926,82.44010257237471,6.776403563612518,Fault
TXR-0028,2007,100,OFAF,Zone 3,101.25859050855362,323.4890413117945,78.83633671671475,55.9422632949923,60.21756841407166,4.399424089040188,79.31557414640132,93.5489205196252,9.382984420854374,Normal
TXR-0029,2002,250,OFAF,Zone 1,82.49164498144997,100.41976022357828,17.567974169490142,67.21204429339792,78.8500683917515,7.910674819020222,85.66272407974023,95.68511064009743,8.567095431112369,Normal
TXR-0030,2015,500,OFAF,Zone 3,153.79544837977608,164.71126129230976,11.168902748348751,50.67801944417241,54.967656777701485,3.3710806484609663,66.2475663611341,79.49136213835685,7.1566018838177365,Fault
TXR-0031,2016,1000,ONAN,Zone 2,89.38861905774412,114.34192193165094,18.868034355422104,50.96765601835344,58.912428534891504,5.1981154988653975,64.34137027392222,81.7567088351849,10.960443995386807,Normal
TXR-0032,2007,500,OFAF,Zone 3,67.5054180163882,90.28270757138851,14.468440139736128,63.750768908874306,70.58000930351668,5.354595042817243,88.14669427940397,102.73043590362616,11.140405887454847,Normal
TXR-0033,2016,100,ONAN,Zone 2,99.11404576638441,117.30001919502703,14.644014193163715,52.687630949367176,55.09681214364426,2.277780707444479,64.80893947431433,76.95120792971029,5.997623784060718,Normal
