transformer_id,install_year,rated_kva,cooling_type,zone
TXR-0001,2012,250,ONAF,Zone 3
TXR-0002,2019,500,ONAN,Zone 3
TXR-0003,2009,500,OFAF,Zone 1
TXR-0004,2008,100,ONAF,Zone 1
TXR-0005,2006,250,ONAN,Zone 2
TXR-0006,2002,250,ONAF,Zone 2
TXR-0007,2014,500,OFAF,Zone 2
TXR-0008,2015,250,ONAF,Zone 1
TXR-0009,2007,250,OFAF,Zone 2
TXR-0010,2014,100,,Zone 3
TXR-0011,2008,1000,OFAF,Zone 1
TXR-0012,2003,500,OFAF,Zone 1
TXR-0013,1998,250,ONAN,Zone 2
TXR-0014,2003,250,ONAN,Zone 1
TXR-0015,2007,500,ONAF,Zone 3
TXR-0016,2014,250,ONAF,Zone 3
TXR-0017,1998,1000,ONAF,Zone 1
TXR-0018,2008,250,OFAF,Zone 2
TXR-0019,1999,500,OFAF,Zone 2
TXR-0020,2009,250,ONAN,Zone 1
TXR-0021,2015,100,ONAN,Zone 1
TXR-0022,2009,500,,Zone 2
TXR-0023,2014,100,OFAF,Zone 3
TXR-0024,2011,1000,ONAN,Zone 1
TXR-0025,2003,100,ONAN,Zone 1
TXR-0026,2017,250,OFAF,Zone 1
TXR-0027,2015,250,OFAF,Zone 1
TXR-0028,2007,100,OFAF,Zone 3
TXR-0029,2002,250,OFAF,Zone 1
TXR-0030,2015,500,OFAF,Zone 3
TXR-0031,2016,1000,ONAN,Zone 2
TXR-0032,2007,500,OFAF,Zone 3
TXR-0033,2016,100,ONAN,Zone 2
TXR-0034,2010,500,ONAF,Zone 2
TXR-0035,1998,250,OFAF,Zone 2
TXR-0036,2016,100,OFAF,Zone 2
TXR-0037,2020,1000,OFAF,Zone 3
TXR-0038,2020,250,ONAN,Zone 3
TXR-0039,2006,250,ONAN,Zone 3
TXR-0040,2002,500,ONAN,Zone 2
TXR-0041,1998,100,ONAN,Zone 1
TXR-0042,2022,100,,Zone 2
TXR-0043,2022,100,OFAF,Zone 2
TXR-0044,2006,100,ONAF,Zone 3
TXR-0045,2022,500,ONAN,Zone 3
TXR-0046,2019,500,ONAN,Zone 3
TXR-0047,1998,1000,OFAF,Zone 1
TXR-0048,1998,500,ONAN,Zone 1
TXR-0049,2019,1000,OFAF,Zone 2
TXR-0050,2010,100,OFAF,Zone 2
TXR-0051,2018,1000,ONAN,Zone 1
TXR-0052,2014,250,OFAF,Zone 1
TXR-0053,2022,100,OFAF,Zone 1
TXR-0054,2012,500,ONAN,Zone 3
TXR-0055,2011,500,OFAF,Zone 1
TXR-0056,2006,250,ONAF,Zone 2
TXR-0057,1998,100,ONAN,Zone 1
TXR-0058,2015,500,ONAN,Zone 2
TXR-0059,2011,1000,ONAN,Zone 2
TXR-0060,2017,500,OFAF,Zone 3
TXR-0061,2021,250,ONAF,Zone 2
TXR-0062,2005,1000,ONAF,Zone 2
TXR-0063,2016,250,OFAF,Zone 3
TXR-0064,2010,500,OFAF,Zone 2
TXR-0065,2003,500,ONAN,Zone 2
TXR-0066,2000,100,ONAF,Zone 1
TXR-0067,2001,250,ONAN,Zone 3
TXR-0068,2006,100,ONAF,Zone 2
TXR-0069,2015,500,OFAF,Zone 3
TXR-0070,2009,1000,,Zone 2
TXR-0071,1998,250,ONAF,Zone 2
TXR-0072,2017,100,OFAF,Zone 3
TXR-0073,1998,100,ONAF,Zone 2
TXR-0074,2006,100,ONAN,Zone 2
TXR-0075,2012,100,ONAF,Zone 3
TXR-0076,2003,250,OFAF,Zone 3
TXR-0077,2015,250,OFAF,Zone 2
TXR-0078,2016,100,ONAF,Zone 1
TXR-0079,2003,100,ONAN,Zone 2
TXR-0080,1998,250,ONAF,Zone 3
TXR-0081,2006,500,ONAF,Zone 3
TXR-0082,2019,1000,ONAF,Zone 3
TXR-0083,1998,1000,OFAF,Zone 3
TXR-0084,2012,100,ONAF,Zone 3
TXR-0085,2001,250,ONAF,Zone 1
TXR-0086,2011,250,ONAF,Zone 3
TXR-0087,2022,1000,ONAF,Zone 3
TXR-0088,2002,100,ONAF,Zone 1
TXR-0089,2006,1000,ONAF,Zone 3
TXR-0090,2000,250,ONAF,Zone 3
TXR-0091,2007,100,OFAF,Zone 3
TXR-0092,2012,100,OFAF,Zone 1
TXR-0093,2014,500,ONAF,Zone 1
TXR-0094,2014,1000,ONAF,Zone 1
TXR-0095,2014,500,OFAF,Zone 1
TXR-0096,2012,100,ONAN,Zone 1
TXR-0097,2022,100,ONAF,Zone 3
TXR-0098,2004,500,OFAF,Zone 2
TXR-0099,2022,500,ONAN,Zone 1
TXR-0100,2015,250,OFAF,Zone 1
TXR-0101,2002,1000,ONAN,Zone 1
TXR-0102,2014,1000,ONAN,Zone 3
TXR-0103,1998,100,ONAF,Zone 2
TXR-0104,2001,100,OFAF,Zone 2
TXR-0105,2010,1000,ONAN,Zone 2
TXR-0106,2022,250,ONAN,Zone 1
TXR-0107,2016,100,ONAF,Zone 3
TXR-0108,2016,500,,Zone 2
TXR-0109,2005,100,ONAN,Zone 1
TXR-0110,2001,1000,OFAF,Zone 3
TXR-0111,2022,100,OFAF,Zone 3
TXR-0112,2016,250,ONAF,Zone 2
TXR-0113,2008,100,OFAF,Zone 2
TXR-0114,2014,100,ONAF,Zone 3
TXR-0115,2016,250,OFAF,Zone 1
TXR-0116,2015,100,OFAF,Zone 1
TXR-0117,1999,500,ONAN,Zone 1
TXR-0118,2001,250,ONAF,Zone 2
TXR-0119,2006,500,ONAN,Zone 2
TXR-0120,2020,250,ONAF,Zone 3
TXR-0121,2019,1000,ONAF,Zone 1
